id,paper_id,primers,longitude,latitude,continent,sample_type,Biome,marker_size,MAT,MAP,pH,year_of_sampling,plants_dominant,target_gene,sequencing_platform,Sample,Spring/Fall,Original_Sample_ID,Original,Sample,ID,sitePlot,Plot_Loc,Plot_Loc_Rep,Country,State,Site,Remnant,LUH,Depth_cm,SiteLat,SiteLong,CoordLat,CoordLong
MAPS_FA18_HAY_A02_S030,Ramos_2024,LROR/FLR2,-99.314623,38.842887,North America,soil,anthropogenic,,,,,2018,,LSU,Illumina,Fall18_AMF_79_S79_L001,Fall,HAY_A02_S030,HAY,A02,S030,HAY_A02,HAY_A,2,US,KS,HAY,No,A,30,38.844,-99.317,38.842887,-99.314623
MAPS_FA18_HAY_A02_S075,Ramos_2024,LROR/FLR2,-99.314623,38.842887,North America,soil,anthropogenic,,,,,2018,,LSU,Illumina,Fall18_AMF_75_S75_L001,Fall,HAY_A02_S075,HAY,A02,S075,HAY_A02,HAY_A,2,US,KS,HAY,No,A,75,38.844,-99.317,38.842887,-99.314623
MAPS_FA18_HAY_A02_S150,Ramos_2024,LROR/FLR2,-99.314623,38.842887,North America,soil,anthropogenic,,,,,2018,,LSU,Illumina,Fall18_AMF_73_S73_L001,Fall,HAY_A02_S150,HAY,A02,S150,HAY_A02,HAY_A,2,US,KS,HAY,No,A,150,38.844,-99.317,38.842887,-99.314623
MAPS_FA18_HAY_A03_S005,Ramos_2024,LROR/FLR2,-99.31454,38.842886,North America,soil,anthropogenic,,,,,2018,,LSU,Illumina,Fall18_AMF_86_S86_L001,Fall,HAY_A03_S005,HAY,A03,S005,HAY_A03,HAY_A,3,US,KS,HAY,No,A,5,38.844,-99.317,38.842886,-99.31454
MAPS_FA18_HAY_A03_S015,Ramos_2024,LROR/FLR2,-99.31454,38.842886,North America,soil,anthropogenic,,,,,2018,,LSU,Illumina,Fall18_AMF_85_S85_L001,Fall,HAY_A03_S015,HAY,A03,S015,HAY_A03,HAY_A,3,US,KS,HAY,No,A,15,38.844,-99.317,38.842886,-99.31454
MAPS_FA18_HAY_A03_S030,Ramos_2024,LROR/FLR2,-99.31454,38.842886,North America,soil,anthropogenic,,,,,2018,,LSU,Illumina,Fall18_AMF_84_S84_L001,Fall,HAY_A03_S030,HAY,A03,S030,HAY_A03,HAY_A,3,US,KS,HAY,No,A,30,38.844,-99.317,38.842886,-99.31454
MAPS_FA18_HAY_A03_S075,Ramos_2024,LROR/FLR2,-99.31454,38.842886,North America,soil,anthropogenic,,,,,2018,,LSU,Illumina,Fall18_AMF_92_S92_L001,Fall,HAY_A03_S075,HAY,A03,S075,HAY_A03,HAY_A,3,US,KS,HAY,No,A,75,38.844,-99.317,38.842886,-99.31454
MAPS_FA18_HAY_A03_S120,Ramos_2024,LROR/FLR2,-99.31454,38.842886,North America,soil,anthropogenic,,,,,2018,,LSU,Illumina,Fall18_AMF_91_S91_L001,Fall,HAY_A03_S120,HAY,A03,S120,HAY_A03,HAY_A,3,US,KS,HAY,No,A,120,38.844,-99.317,38.842886,-99.31454
MAPS_FA18_HAY_A04_S005,Ramos_2024,LROR/FLR2,-99.314542,38.842728,North America,soil,anthropogenic,,,,,2018,,LSU,Illumina,Fall18_AMF_94_S94_L001,Fall,HAY_A05_S005,HAY,A05,S005,HAY_A04,HAY_A,5,US,KS,HAY,No,A,5,38.844,-99.317,38.842728,-99.314542
MAPS_FA18_HAY_A04_S015,Ramos_2024,LROR/FLR2,-99.314542,38.842728,North America,soil,anthropogenic,,,,,2018,,LSU,Illumina,Fall18_AMF_114_S114_L001,Fall,HAY_A04_S015,HAY,A04,S015,HAY_A04,HAY_A,4,US,KS,HAY,No,A,15,38.844,-99.317,38.842728,-99.314542
MAPS_FA18_HAY_A04_S030,Ramos_2024,LROR/FLR2,-99.314542,38.842728,North America,soil,anthropogenic,,,,,2018,,LSU,Illumina,Fall18_AMF_115_S115_L001,Fall,HAY_A04_S030,HAY,A04,S030,HAY_A04,HAY_A,4,US,KS,HAY,No,A,30,38.844,-99.317,38.842728,-99.314542
MAPS_FA18_HAY_A04_S075,Ramos_2024,LROR/FLR2,-99.314542,38.842728,North America,soil,anthropogenic,,,,,2018,,LSU,Illumina,Fall18_AMF_113_S113_L001,Fall,HAY_A04_S075,HAY,A04,S075,HAY_A04,HAY_A,4,US,KS,HAY,No,A,75,38.844,-99.317,38.842728,-99.314542
MAPS_FA18_HAY_A04_S120,Ramos_2024,LROR/FLR2,-99.314542,38.842728,North America,soil,anthropogenic,,,,,2018,,LSU,Illumina,Fall18_AMF_116_S116_L001,Fall,HAY_A04_S120,HAY,A04,S120,HAY_A04,HAY_A,4,US,KS,HAY,No,A,120,38.844,-99.317,38.842728,-99.314542
MAPS_FA18_HAY_N01_S005,Ramos_2024,LROR/FLR2,-99.303374,38.835417,North America,soil,grassland,,,,,2018,,LSU,Illumina,Fall18_AMF_98_S98_L001,Fall,HAY_N01_S005,HAY,N01,S005,HAY_N01,HAY_N,1,US,KS,HAY,Yes,N,5,38.844,-99.317,38.835417,-99.303374
MAPS_FA18_HAY_N01_S015,Ramos_2024,LROR/FLR2,-99.303374,38.835417,North America,soil,grassland,,,,,2018,,LSU,Illumina,Fall18_AMF_108_S108_L001,Fall,HAY_N01_S015,HAY,N01,S015,HAY_N01,HAY_N,1,US,KS,HAY,Yes,N,15,38.844,-99.317,38.835417,-99.303374
MAPS_FA18_HAY_N01_S030,Ramos_2024,LROR/FLR2,-99.303374,38.835417,North America,soil,grassland,,,,,2018,,LSU,Illumina,Fall18_AMF_99_S99_L001,Fall,HAY_N01_S030,HAY,N01,S030,HAY_N01,HAY_N,1,US,KS,HAY,Yes,N,30,38.844,-99.317,38.835417,-99.303374
MAPS_FA18_HAY_N01_S075,Ramos_2024,LROR/FLR2,-99.303374,38.835417,North America,soil,grassland,,,,,2018,,LSU,Illumina,Fall18_AMF_110_S110_L001,Fall,HAY_N01_S075,HAY,N01,S075,HAY_N01,HAY_N,1,US,KS,HAY,Yes,N,75,38.844,-99.317,38.835417,-99.303374
MAPS_FA18_HAY_N01_S150,Ramos_2024,LROR/FLR2,-99.303374,38.835417,North America,soil,grassland,,,,,2018,,LSU,Illumina,Fall18_AMF_107_S107_L001,Fall,HAY_N01_S150,HAY,N01,S150,HAY_N01,HAY_N,1,US,KS,HAY,Yes,N,150,38.844,-99.317,38.835417,-99.303374
