taxa_id	marker	Kingdom	Phylum	Class	Order	Family	Genus	Species
SH0965825.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus sp.
SH0965839.09FU	ITS2	Fungi	Glomeromycota	Archaeosporomycetes	unclassified_Archaeosporomycetes	unclassified_Archaeosporomycetes	unclassified_Archaeosporomycetes	Archaeosporomycetes sp.
SH0965849.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus sp.
SH0965857.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	unclassified_Glomeraceae	Glomeraceae sp.
SH0965873.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus sp.
SH0965908.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	unclassified_Glomeraceae	Glomeraceae sp.
SH0965911.09FU	ITS2	Fungi	Glomeromycota	Archaeosporomycetes	unclassified_Archaeosporomycetes	unclassified_Archaeosporomycetes	unclassified_Archaeosporomycetes	Archaeosporomycetes sp.
SH0966035.09FU	ITS2	Fungi	Glomeromycota	Paraglomeromycetes	Paraglomerales	Pervetustaceae	unclassified_Pervetustaceae	Pervetustaceae sp.
SH0966439.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus sp.
SH0966443.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus sp.
SH0966444.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus sp.
SH0966448.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	unclassified_Glomeraceae	Glomeraceae sp.
SH0966450.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus sp.
SH0966451.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus sp.
SH0966452.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus sp.
