taxa_id	marker	Kingdom	Phylum	Class	Order	Family	Genus	Species
SH0980998.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	unclassified_Glomeraceae	Glomeraceae sp.
SH0981000.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus sp.
SH0981002.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Dominikia	Dominikia sp.
SH0981013.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus sp.
SH0981021.09FU	ITS2	Fungi	Glomeromycota	unclassified_Glomeromycota	unclassified_Glomeromycota	unclassified_Glomeromycota	unclassified_Glomeromycota	Glomeromycota sp.
SH0981022.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	unclassified_Glomeromycetes	unclassified_Glomeromycetes	unclassified_Glomeromycetes	Glomeromycetes sp.
SH0981025.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Dominikia	Dominikia sp.
SH0981030.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus sp.
SH0981034.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	unclassified_Glomeraceae	Glomeraceae sp.
SH0981035.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Diversisporales	Acaulosporaceae	Acaulospora	Acaulospora brasiliensis
SH0981039.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus sp.
SH0981041.09FU	ITS2	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Funneliformis	Funneliformis sp.
