"NCBI_idv"	"authors"	"journal"	"year"	"title"	"pubmed_id"	"remark"
"MT832182.1"	"Morton,J."	"Submitted (31-JUL-2020) Ecology and Evolutionary Biology, University of Kansas, 106 Higuchi Hall, 2101 Constant Ave, Lawrence, KS 66047, USA"	"31-JUL-2020"	"Direct Submission"	NA	NA
"MT832183.1"	"Morton,J."	"Submitted (31-JUL-2020) Ecology and Evolutionary Biology, University of Kansas, 106 Higuchi Hall, 2101 Constant Ave, Lawrence, KS 66047, USA"	"31-JUL-2020"	"Direct Submission"	NA	NA
"MT832185.1"	"Morton,J."	"Submitted (31-JUL-2020) Ecology and Evolutionary Biology, University of Kansas, 106 Higuchi Hall, 2101 Constant Ave, Lawrence, KS 66047, USA"	"31-JUL-2020"	"Direct Submission"	NA	NA
"MT832186.1"	"Morton,J."	"Submitted (31-JUL-2020) Ecology and Evolutionary Biology, University of Kansas, 106 Higuchi Hall, 2101 Constant Ave, Lawrence, KS 66047, USA"	"31-JUL-2020"	"Direct Submission"	NA	NA
"MT832187.1"	"Morton,J."	"Submitted (31-JUL-2020) Ecology and Evolutionary Biology, University of Kansas, 106 Higuchi Hall, 2101 Constant Ave, Lawrence, KS 66047, USA"	"31-JUL-2020"	"Direct Submission"	NA	NA
"MT832188.1"	"Morton,J."	"Submitted (31-JUL-2020) Ecology and Evolutionary Biology, University of Kansas, 106 Higuchi Hall, 2101 Constant Ave, Lawrence, KS 66047, USA"	"31-JUL-2020"	"Direct Submission"	NA	NA
"MT832189.1"	"Morton,J."	"Submitted (31-JUL-2020) Ecology and Evolutionary Biology, University of Kansas, 106 Higuchi Hall, 2101 Constant Ave, Lawrence, KS 66047, USA"	"31-JUL-2020"	"Direct Submission"	NA	NA
"MT832194.1"	"Morton,J."	"Submitted (31-JUL-2020) Ecology and Evolutionary Biology, University of Kansas, 106 Higuchi Hall, 2101 Constant Ave, Lawrence, KS 66047, USA"	"31-JUL-2020"	"Direct Submission"	NA	NA
"MT832195.1"	"Morton,J."	"Submitted (31-JUL-2020) Ecology and Evolutionary Biology, University of Kansas, 106 Higuchi Hall, 2101 Constant Ave, Lawrence, KS 66047, USA"	"31-JUL-2020"	"Direct Submission"	NA	NA
"MT832215.1"	"Morton,J."	"Submitted (31-JUL-2020) Ecology and Evolutionary Biology, University of Kansas, 106 Higuchi Hall, 2101 Constant Ave, Lawrence, KS 66047, USA"	"31-JUL-2020"	"Direct Submission"	NA	NA
"MT832216.1"	"Morton,J."	"Submitted (31-JUL-2020) Ecology and Evolutionary Biology, University of Kansas, 106 Higuchi Hall, 2101 Constant Ave, Lawrence, KS 66047, USA"	"31-JUL-2020"	"Direct Submission"	NA	NA
"MT832219.1"	"Morton,J."	"Submitted (31-JUL-2020) Ecology and Evolutionary Biology, University of Kansas, 106 Higuchi Hall, 2101 Constant Ave, Lawrence, KS 66047, USA"	"31-JUL-2020"	"Direct Submission"	NA	NA
